7852-2017_Godfrey Cheshire,3.0,-1,0,-1,0,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,1,-1,0,1,1,
90-minutes-in-heaven-2015_Matt Fagerholm,1.5,-1,1,-1,-1,-1,0,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-2,-1,-1,0,-1,-1,-1,-1,-1,-1,
99-homes-2015_Sheila O&#39;Malley,3.5,-1,1,1,-1,-1,-1,0,-1,-1,-1,-1,1,0,0,0,0,-1,1,1,-1,1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-2,-1,0,-1,1,-1,-1,0,0,1,-1,-1,2,1,-1,1,0,-1,-1,1,0,-1,0,-1,-1,
a-bad-moms-christmas-2017_Christy Lemire,2.0,-2,-1,-1,-1,-1,1,0,1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,1,-1,2,-1,-1,-1,-1,-1,-1,1,1,-1,
a-beautiful-planet-2016_Nick Allen,3.5,1,-1,1,-1,0,-1,1,2,-1,-1,-1,1,1,0,-1,-1,1,1,-1,-1,1,1,
a-bigger-splash-2016_Christy Lemire,3.0,1,1,2,1,2,-1,1,-1,-2,1,-1,-1,-1,-1,1,1,-1,-1,1,-1,0,1,-1,1,1,-1,-1,-1,-1,1,
a-birders-guide-to-everything-2014_Sheila O&#39;Malley,3.0,-1,-1,-2,-1,1,0,1,1,1,-1,-1,-2,-1,1,-1,0,-1,2,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,2,1,-1,-1,1,0,-1,1,-1,-1,-1,-1,1,-1,0,-1,1,-1,-1,1,0,-1,-1,-1,0,0,-1,0,
a-borrowed-identity-2015_Godfrey Cheshire,3.0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,2,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,2,
a-boy-called-po-2017_Sheila O&#39;Malley,2.5,-1,-1,-1,1,-1,0,-1,-1,-2,-1,-1,0,-1,0,1,-1,0,-1,-1,1,0,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,-1,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,2,2,-1,1,
a-brave-heart-the-lizzie-velasquez-story-2015_Christy Lemire,3.0,-1,-1,-1,1,-2,-1,1,1,1,1,1,-1,1,1,-1,1,0,0,0,-1,1,1,0,0,-1,0,-1,-1,-1,-1,-1,1,1,
a-bride-for-rip-van-winkle-2017_Simon Abrams,2.0,-1,2,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,
a-brilliant-young-mind-2015_Godfrey Cheshire,1.5,-1,1,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,0,1,1,-1,-1,
a-christmas-horror-story-2015_Peter Sobczynski,2.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,1,-1,-1,1,0,-1,
a-coffee-in-berlin-2014_Sheila O&#39;Malley,3.5,1,-1,1,-1,0,1,2,1,-1,-1,0,-1,2,-1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,2,-2,0,1,-1,-1,-2,0,-1,2,1,
a-country-called-home-2016_Mark Dujsik,2.5,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,1,0,-1,-2,1,-1,1,
a-cure-for-wellness-2017_Matt Zoller Seitz,2.0,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,2,0,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
a-dogs-purpose-2017_Glenn Kenny,1.5,-1,-1,-1,0,0,-1,-1,-1,-1,-2,-1,1,-1,-1,-1,-1,0,-1,-1,0,-1,1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,-1,0,
