can-we-take-a-joke-2016_Matt Zoller Seitz,1.5,-1,-1,-1,-1,-1,-1,-1,-2,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-2,-1,-1,-1,-1,1,1,-1,-2,-1,-1,0,-1,0,-1,-1,
captain-america-civil-war-2016_Matt Zoller Seitz,3.0,-1,2,-2,-1,1,0,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,0,-1,-1,-1,1,-1,-2,-1,-1,0,-1,-1,-1,1,1,-1,1,1,-1,-1,1,-2,-1,-1,-1,-1,0,1,
captain-underpants-the-first-epic-movie-2017_Matt Zoller Seitz,3.5,-1,-1,-2,-1,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,1,-2,-1,0,-1,-2,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,0,
cars-3-2017_Matt Zoller Seitz,2.5,-1,-2,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-2,-1,0,-1,-1,0,1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,1,0,1,-1,1,
central-intelligence-2016_Matt Zoller Seitz,3.5,-1,1,-1,0,1,1,-1,-1,-1,-1,-1,-1,1,1,0,0,1,0,0,0,0,-1,-1,-1,0,1,-1,1,-1,-1,-1,-1,-1,2,-1,-1,0,1,1,1,-1,-1,1,2,-1,1,-1,1,-1,
chi-raq-2015_Matt Zoller Seitz,4.0,1,-1,1,-1,1,1,0,-1,1,-1,1,-1,-1,0,-1,1,1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0,-1,2,0,-1,-1,1,1,1,-1,1,-1,-1,1,-1,0,1,1,-1,0,1,-1,0,1,1,-1,-1,-1,1,-1,-1,
coco-2017_Matt Zoller Seitz,4.0,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,1,-1,1,1,1,-1,1,
code-black-2014_Matt Zoller Seitz,2.5,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,1,1,1,-1,-1,-1,-1,0,0,0,1,-1,-1,1,1,
coherence-2014_Matt Zoller Seitz,3.0,1,-1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,1,-1,-1,-1,0,0,0,-1,-1,-1,1,-1,2,
colossal-2017_Matt Zoller Seitz,3.5,0,-1,-1,1,-1,-1,0,-1,0,-1,1,-1,-1,1,-1,1,-1,-1,-2,1,1,1,1,1,-1,-1,1,-1,-1,-1,2,-1,0,0,
contemporary-color-2017_Matt Zoller Seitz,3.0,0,2,-1,-1,-1,-1,-1,1,1,1,-1,1,0,-1,1,-1,-1,-1,-1,-1,-1,1,0,1,1,1,
crown-heights-2017_Matt Zoller Seitz,3.0,1,-2,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,2,-1,
da-sweet-blood-of-jesus-2015_Matt Zoller Seitz,3.0,-1,1,-1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,1,-1,-1,-1,1,2,0,0,1,-1,
danny-collins-2015_Matt Zoller Seitz,3.5,2,1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,0,-1,0,1,-1,-1,-1,1,-1,1,2,1,-1,1,
dark-night-2017_Matt Zoller Seitz,1.5,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,1,-1,
david-brent-life-on-the-road-2017_Matt Zoller Seitz,1.5,-1,-1,-1,-1,0,-1,-2,1,1,-1,-1,-1,-1,-1,0,
