Title,Score,Very negative,Negative,Neutral,Positive,Very positive,Total,
torment.tides.of.numenera.review.txt,8,0,38,8,13,0,59,
total.war.attila.review.PC.txt,8,2,47,5,29,3,86,
total.war.warhammer.2.review.pc.txt,8,0,34,4,22,3,63,
warhammer.40000.dawn.of.war.3.review.txt,8,0,69,9,24,1,103,
watch.dogs.2.review.playstation.4.ps4.xbox.one.pc.windows.ubisoft.txt,8,1,50,12,22,1,86,
xenoblade.chronicles.3d.review.hard.knock.life.txt,8,1,32,7,14,2,56,
yakuza.0.review.ps4.playstation.4.sega.atlus.txt,8,0,42,7,20,1,70,
zero.escape.zero.time.dilemma.review.txt,8,2,25,8,10,0,45,
dragon.age.inquisition.review.ps4.xbox.one.playstation.4.pc.txt,9.5,3,38,9,18,0,68,
fallout.4.review.xbox.one.PS4.PC.txt,9.5,3,67,12,19,1,102,
horizon.zero.dawn.review.ps4.playstation.4.sony.guerrilla.games.txt,9.5,3,30,12,17,0,62,
inside.review.txt,9.5,0,27,7,22,5,61,
rakuen.review.txt,9.5,0,23,7,14,2,46,
super.mario.maker.review.nintendo.wii.u.txt,9.5,0,28,4,12,1,45,
super.smash.bros.for.wii.u.review.crazy.eights.txt,9.5,2,22,10,13,3,50,
tokyo.mirage.sessions.fe.review.nintendo.atlus.wii.u.fire.emblem.shin.megami.tensei.txt,9.5,0,44,4,17,1,66,
world.of.warcraft.legion.review.wow.expansion.txt,9.5,2,34,3,21,1,61,
world.of.warcraft.warlords.draenor.review.pc.mac.mmo.txt,9.5,0,35,4,12,0,51,
xcom.2.war.of.the.chosen.review.txt,9.5,0,49,7,25,2,83,
ys.8.viii.lacrimosa.of.dana.review.txt,9.5,0,30,6,13,2,51,
battlefield.1.review.xbox.one.ps4.playstation.4.pc.windows.txt,9,2,56,9,18,2,87,
bloodborne.review.PS4.playstation.4.exclusive.txt,9,1,44,9,19,1,74,
call.of.duty.advanced.warfare.review.xbox.one.txt,9,2,45,9,27,0,83,
civilization.beyond.earth.review.pc.txt,9,0,41,3,21,3,68,
dark.souls.2.review.txt,9,3,49,7,25,1,85,
dead.cells.review.txt,9,1,27,8,9,1,46,
destiny.2.review.txt,9,3,104,11,37,3,158,
dirt.4.review.xbox.one.ps4.pc.txt,9,3,34,6,13,2,58,
duskers.review.txt,9,2,33,6,11,1,53,
ea.sports.fifa.16.review.PS4.xbox.one.txt,9,3,40,5,19,1,68,
everything.review.ps4.PC.txt,9,0,39,30,38,2,109,
far.cry.4.review.ps4.playstation.4.pc.xbox.one.txt,9,1,34,13,12,1,61,
fifa.17.review.ps4.xbox.one.txt,9,2,47,7,19,3,78,
fifa.18.review.txt,9,0,36,3,11,1,51,
final.fantasy.15.review.xv.ff15.ps4.playstation.4.xbox.one.square.enix.txt,9,1,37,4,23,3,68,
galak.z.review.ps4.txt,9,0,39,3,13,0,55,
gears.of.war.4.review.pc.xbox.one.windows.10.txt,9,4,72,12,27,3,118,
guitar.hero.live.review.ps4.xbox.one.wii.u.txt,9,1,39,3,9,3,55,
halo.5.guardians.review.xbox.one.txt,9,0,78,11,23,2,114,
injustice.2.review.txt,9,2,28,3,18,2,53,
madden.nfl.16.review.xbox.one.PS4.txt,9,3,43,7,8,0,61,
madden.nfl.17.review.ps4.xbox.one.txt,9,3,34,8,19,2,66,
metal.gear.solid.5.the.phantom.pain.review.ps4.xbox.one.PC.txt,9,2,86,9,20,4,121,
metroid.samus.returns.review.txt,9,1,33,4,11,3,52,
mlb.15.the.show.review.ps4.txt,9,2,35,4,18,3,62,
mortal.kombat.x.review.PS4.Xbox.One.txt,9,0,44,9,23,0,76,
olliolli.2.welcome.to.olliwood.review.on.a.roll.txt,9,0,26,1,5,0,32,
ori.and.the.blind.forest.review.xbox.one.PC.txt,9,2,36,6,20,1,65,
orwell.review.PC.txt,9,0,58,8,23,2,91,
persona.5.review.atlus.playstation.4.ps4.3.ps3.english.gameplay.impressions.txt,9,1,40,1,16,0,58,
persona.q.review.3ds.shin.megami.tensei.txt,9,0,32,5,17,0,54,
pyre.review.txt,9,2,18,9,19,3,51,
resident.evil.7.review.re7.vii.biohazard.ps4.playstation.4.vr.psvr.pc.windows.xbox.one.capcom.txt,9,1,46,4,16,0,67,
rocket.league.review.ps4.pc.txt,9,1,28,6,15,1,51,
salt.and.sanctuary.review.ps4.txt,9,1,20,3,10,0,34,
severed.review.vita.txt,9,1,22,4,8,2,37,
soma.review.frictional.games.pc.horror.amnesia.txt,9,0,29,2,9,0,40,
stardew.valley.review.txt,9,0,34,10,14,0,58,
subsurface.circular.review.mike.bithell.games.txt,9,0,17,2,16,0,35,
sunset.overdrive.review.xbox.one.txt,9,4,35,7,19,1,66,
super.mega.baseball.review.ps4.txt,9,0,33,5,16,0,54,
superhot.review.pc.windows.xbox.one.txt,9,0,21,2,15,3,41,
uncharted.4.review.a.thiefs.end.ps4.playstation.4.naughty.dog.nathan.drake.txt,9,3,30,5,14,1,53,
videoball.review.pc.ps4.playstation.4.xbox.one.txt,9,0,28,12,17,0,57,
virginia.review.PC.xbox.one.ps4.txt,9,1,27,4,14,1,47,
volume.ps4.pc.review.txt,9,0,27,8,22,0,57,
west.of.loathing.review.kingdom.asymmetric.pc.mac.ios.txt,9,0,32,7,15,2,56,
what.remains.of.edith.finch.review.txt,9,1,28,6,8,1,44,
xcom.2.review.PC.txt,9,2,53,9,28,0,92,
zelda.majoras.mask.3d.review.legend.new.3ds.xl.txt,9,1,18,3,15,2,39,
